number,name,status
631,Dependency specification in pyproject.toml based on PEP 508,
633,Dependency specification in pyproject.toml using an exploded TOML table,
620,Hide implementation details from the C API,Withdrawn
611,The one million limit,Withdrawn
606,Python Compatibility Version,Rejected
608,Coordinated Python release,Rejected
622,Structural Pattern Matching,
605,A rolling feature release stream for CPython,
601,Forbid return/break/continue breaking out of finally,
599,The manylinux2014 Platform Tag,
595,Improving bugs.python.org,
598,Introducing incremental feature releases,
580,The C call protocol,
582,Python local packages directory,
583,A Concurrency Memory Model for Python,Withdrawn
577,Augmented Assignment Expressions,Withdrawn
576,Rationalize Built-in function classes,
559,Built-in noop(),Rejected
575,Unifying function/method classes,Withdrawn
571,The manylinux2010 Platform Tag,
550,Execution Context,Withdrawn
555,Context-local variables (contextvars),Withdrawn
551,Security transparency in the Python runtime,Withdrawn
549,Instance Descriptors,
548,More Flexible Loop Control,Rejected
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
543,A Unified TLS API for Python,Withdrawn
531,Existence checking operators,Withdrawn
542,Dot Notation Assignment In Function Header,Rejected
522,Allow BlockingIOError in security sensitive APIs,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
516,Build system abstraction for pip/conda etc,
509,Add a private version to dict,Superseded
511,API for code transformers,Rejected
513,A Platform Tag for Portable Linux Built Distributions,
510,Specialize functions with guards,Rejected
507,Migrate CPython to Git and GitLab,Rejected
504,Using the System RNG by default,Withdrawn
502,String Interpolation - Extended Discussion,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementations,
496,Environment Markers,
497,A standard mechanism for backward compatibility,
490,Chain exceptions at C level,Rejected
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
474,Creating forge.python.org,Withdrawn
469,Migration of dict iteration code to Python 3,Withdrawn
473,Adding structured data to built-in exceptions,Rejected
472,Support for indexing with keyword arguments,
462,Core development workflow automation for CPython,Withdrawn
463,Exception-catching expressions,Rejected
459,Standard Metadata Extensions for Python Software Packages,
460,Add binary interpolation and formatting,Withdrawn
455,Adding a key-transforming dictionary to collections,
439,Inclusion of implicit pip bootstrap in Python installation,
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
433,Easier suppression of file descriptor inheritance,Superseded
432,Restructuring the CPython startup sequence,
431,Time zone support improvements,
422,Simpler customisation of class creation,Withdrawn
426,Metadata for Python Software Packages 2.0,
413,Faster evolution of the Python Standard Library,Withdrawn
416,Add a frozendict builtin type,Rejected
406,Improved Encapsulation of Import State,Withdrawn
410,Use decimal.Decimal type for timestamps,Rejected
402,Simplified Package Layout and Partitioning,Rejected
411,Provisional packages in the Python standard library,Superseded
408,Standard library __preview__ package,Rejected
396,Module Version Numbers,Rejected
401,BDFL Retirement,April Fool!
395,Qualified Names for Modules,Withdrawn
390,Static metadata for Distutils,
386,Changing the version comparison module in Distutils,Superseded
382,Namespace Packages,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expression,Withdrawn
377,Allow __enter__() methods to skip the statement body,Rejected
369,Post import hooks,Withdrawn
367,New Super,Superseded
365,Adding the pkg_resources module,Rejected
364,Transitioning to the Py3K Standard Library,Withdrawn
363,Syntax For Dynamic Attribute Access,Rejected
354,Enumerations in Python,Superseded
355,Path - Object oriented filesystem paths,Rejected
359,The “make” Statement,Withdrawn
351,The freeze protocol,Rejected
349,Allow str() to return unicode strings,Rejected
350,Codetags,Rejected
348,Exception Reorganization for Python 3.0,Rejected
345,Metadata for Python Software Packages 1.2,
344,Exception Chaining and Embedded Tracebacks,Superseded
346,User Defined (”,Withdrawn
340,Anonymous Block Statements,Rejected
339,Design of the CPython Compiler,Withdrawn
335,Overloadable Boolean Operators,Rejected
336,Make None Callable,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
332,Byte vectors and String/Unicode Unification,Rejected
330,Python Bytecode Verification,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
325,Resource-Release Support for Generators,Rejected
326,A Case for Top and Bottom Values,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
315,Enhanced While Loop,Rejected
314,Metadata for Python Software Packages 1.1,
313,Adding Roman Numeral Literals to Python,Rejected
310,Reliable Acquisition/Release Pairs,Rejected
306,How to Change Python’s Grammar,Withdrawn
303,Extend divmod() for Multiple Divisors,Rejected
304,Controlling Generation of Bytecode Files,Withdrawn
299,Special __main__() function in modules,Rejected
297,Support for System Upgrades,Rejected
296,Adding a bytes Object Type,Withdrawn
298,The Locked Buffer Interface,Withdrawn
295,Interpretation of multiline string constants,Rejected
288,Generators Attributes and Exceptions,Withdrawn
294,Type Names in the types Module,Rejected
281,Loop Counter Iteration with range and xrange,Rejected
284,Integer for-loops,Rejected
276,Simple Iterator for ints,Rejected
271,Prefixing sys.path by command line option,Rejected
275,Switching on Multiple Values,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
270,uniq method for list objects,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
259,Omit printing newline after newline,Rejected
265,Sorting Dictionaries by Value,Rejected
262,A Database of Installed Python Packages,Rejected
258,Docutils Design Specification,
254,Making Classes Look More Like Types,Rejected
246,Object Adaptation,Rejected
256,Docstring Processing System Framework,
245,Python Interface Syntax,Rejected
244,The ,Rejected
243,Module Repository Upload Mechanism,
242,Numeric Kinds,Rejected
241,Metadata for Python Software Packages,
239,Adding a Rational Type to Python,Rejected
240,Adding a Rational Literal to Python,Rejected
231,__findattr__(),Rejected
228,Reworking Python’s Numeric Model,Withdrawn
225,Elementwise/Objectwise Operators,Rejected
220,"Coroutines, Generators, Continuations",Rejected
224,Attribute Docstrings,Rejected
215,String Interpolation,Superseded
216,Docstring Format,Rejected
212,Loop Counter Iteration,Rejected
211,Adding A New Outer Product Operator,Rejected
210,Decoupling the Interpreter Loop,Rejected
209,Multi-dimensional Arrays,Withdrawn
206,Python Advanced Library,Withdrawn
204,Range Literals,Rejected
103,Collecting information about git,Withdrawn
102,Doing Python Micro Releases,Superseded
42,Feature Requests,Withdrawn
3143,Standard daemon process library,Deferred
3150,Statement local namespaces (aka “given” clause),Deferred
3,Guidelines for Handling Bug Reports,Withdrawn
9,Sample Plaintext PEP Template,Withdrawn
568,Generator-sensitivity for Context Variables,Deferred
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
556,Threaded garbage collection,Deferred
674,Disallow using macros as l-values,Deferred
547,Running extension modules using the -m option,Deferred
558,Defined semantics for locals(),
536,Final Grammar for Literal String Interpolation,Deferred
535,Rich comparison chaining,Deferred
534,Improved Errors for Missing Standard Library Modules,Deferred
533,Deterministic cleanup for iterators,
505,None-aware operators,Deferred
501,General purpose string interpolation,Deferred
532,A circuit breaking protocol and binary operators,Deferred
447,Add __getdescriptor__ method to metaclass,Deferred
491,The Wheel Binary Package Format 1.9,
499,,
444,Python Web3 Interface,
423,Naming conventions and recipes related to packaging,
419,Protecting cleanup statements from interruptions,Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
407,New release cycle and introducing long-term support versions,Deferred
368,Standard image protocol and class,Deferred
337,Logging Usage in the Standard Library,Deferred
316,Programming by Contract for Python,Deferred
323,Copyable Iterators,Deferred
233,Python Online Help,Deferred
267,Optimized Access to Module Namespaces,Deferred
269,Pgen Module for Python,Deferred
280,Optimizing access to globals,Deferred
286,Enhanced Argument Tuples,Deferred
312,Simple Implicit Lambda,Deferred
3099,Things that will Not Change in Python 3000,Final
3100,Miscellaneous Python 3.0 Plans,Final
213,Attribute Access Handlers,Deferred
222,Web Library Enhancements,Deferred
219,Stackless Python,Deferred
8001,Python Governance Voting Process,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3003,Python Language Moratorium,Final
545,Python Documentation Translations,Final
3000,Python 3000,Final
527,Removing Un(der)used file types/extensions on PyPI,
512,Migrating from hg.python.org to GitHub,
541,Package Index Name Retention,
494,Python 3.6 Release Schedule,Final
478,Python 3.5 Release Schedule,Final
470,Removing External Hosting Support on PyPI,
464,Removal of the PyPI Mirror Authenticity API,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
438,Transitioning to release-file hosting on PyPI,
404,Python 2.8 Un-release Schedule,Final
398,Python 3.3 Release Schedule,Final
429,Python 3.4 Release Schedule,Final
385,Migrating from Subversion to Mercurial,Final
392,Python 3.2 Release Schedule,Final
375,Python 3.1 Release Schedule,Final
360,Externally Maintained Packages,Final
374,Choosing a distributed VCS for the Python project,Final
373,Python 2.7 Release Schedule,Final
361,Python 2.6 and 3.0 Release Schedule,Final
356,Python 2.5 Release Schedule,Final
347,Migrating the Python CVS to Subversion,
320,Python 2.4 Release Schedule,Final
283,Python 2.3 Release Schedule,Final
251,Python 2.2 Release Schedule,Final
226,Python 2.1 Release Schedule,Final
200,Python 2.0 Release Schedule,Final
160,Python 1.6 Release Schedule,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
3155,Qualified name for classes and functions,Final
3154,Pickle protocol version 4,Final
3151,Reworking the OS and IO exception hierarchy,
3148,futures - execute computations asynchronously,Final
3147,PYC Repository Directories,Final
3149,ABI version tagged .so files,Final
3144,IP Address Manipulation Library for the Python Standard Library,
3141,A Type Hierarchy for Numbers,Final
3135,New Super,Final
3138,String representation in Python 3000,Final
3132,Extended Iterable Unpacking,Final
3137,Immutable Bytes and Mutable Buffer,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3131,Supporting Non-ASCII Identifiers,Final
3129,Class Decorators,Final
3123,Making PyObject_HEAD conform to standard C,Final
3127,Integer Literal Support and Syntax,
3120,Using UTF-8 as the default source encoding,Final
3118,Revising the buffer protocol,Final
3116,New I/O,Final
3115,Metaclasses in Python 3000,Final
3119,Introducing Abstract Base Classes,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3112,Bytes literals in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3111,Simple input built-in in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3108,Standard Library Reorganization,Final
3107,Function Annotations,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3104,Access to Names in Outer Scopes,Final
3102,Keyword-Only Arguments,Final
706,Filter for tarfile.extractall,
3101,Advanced String Formatting,Final
697,Limited C API for Extending Opaque Types,
689,Unstable C API tier,
670,Convert macros to functions in the Python C API,Final
682,Format Specifier for Signed Zero,
657,Include Fine Grained Error Locations in Tracebacks,
660,Editable installs for pyproject.toml based builds (wheel based),
656,Platform Tag for Linux Distributions Using Musl,
652,Maintaining the Stable ABI,
644,Require OpenSSL 1.1.1 or newer,
643,Metadata for Package Source Distributions,
629,Versioning PyPI’s Simple API,
628,Add ,Final
626,Precise line numbers for debugging and other tools.,
627,Recording installed projects,
624,Remove Py_UNICODE encoder APIs,Final
623,Remove wstr from Unicode,
621,Storing project metadata in pyproject.toml,
614,Relaxing Grammar Restrictions On Decorators,
618,Add Optional Length-Checking To zip,
616,String methods to remove prefixes and suffixes,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
597,Add optional EncodingWarning,Final
610,Recording the Direct URL Origin of installed distributions,
594,Removing dead batteries from the standard library,
587,Python Initialization Configuration,
592,Adding “Yank” Support to the Simple API,
585,Type Hinting Generics In Standard Collections,
584,Add Union Operators To dict,
573,Module State Access from C Extension Methods,
574,Pickle protocol 5 with out-of-band data,
567,Context Variables,Final
572,Assignment Expressions,Final
570,Python Positional-Only Parameters,
564,Add new time functions with nanosecond resolution,Final
565,Show DeprecationWarning in __main__,Final
566,Metadata for Python Software Packages 2.1,
562,Module __getattr__ and __dir__,Final
561,Distributing and Packaging Type Information,Final
557,Data Classes,Final
553,Built-in breakpoint(),Final
552,Deterministic pycs,Final
540,Add a new UTF-8 Mode,
539,A New C-API for Thread-Local Storage in CPython,
538,Coercing the legacy C locale to a UTF-8 based locale,
530,Asynchronous Comprehensions,
528,Change Windows console encoding to UTF-8,Final
526,Syntax for Variable Annotations,Final
529,Change Windows filesystem encoding to UTF-8,Final
525,Asynchronous Generators,
523,Adding a frame evaluation API to CPython,Final
524,Make os.urandom() blocking on Linux,Final
520,Preserving Class Attribute Definition Order,Final
519,Adding a file system path protocol,Final
518,Specifying Minimum Build System Requirements for Python Projects,
517,A build-system independent format for source trees,
515,Underscores in Numeric Literals,Final
508,Dependency specification for Python Software Packages,
506,Adding A Secrets Module To The Standard Library,Final
503,Simple Repository API,
498,Literal String Interpolation,Final
495,Local Time Disambiguation,
492,Coroutines with async and await syntax,
493,HTTPS verification migration tools for Python 2.7,
489,Multi-phase extension module initialization,
488,Elimination of PYO files,Final
485,A Function for testing approximate equality,Final
487,Simpler customisation of class creation,Final
486,Make the Python Launcher aware of virtual environments,Final
479,Change StopIteration handling inside generators,Final
484,Type Hints,
477,Backport ensurepip (PEP 453) to Python 2.7,
476,Enabling certificate verification by default for stdlib http clients,Final
475,Retry system calls failing with EINTR,
468,Preserving the order of **kwargs in a function.,
466,Network Security Enhancements for Python 2.7.x,Final
465,A dedicated infix operator for matrix multiplication,Final
456,Secure and interchangeable hash algorithm,
461,Adding % formatting to bytes and bytearray,Final
454,Add a new tracemalloc module to trace Python memory allocations,
450,Adding A Statistics Module To The Standard Library,Final
451,A ModuleSpec Type for the Import System,
453,Explicit bootstrapping of pip in Python installations,
446,Make newly created file descriptors non-inheritable,Final
445,Add new APIs to customize Python memory allocators,
448,Additional Unpacking Generalizations,
443,Single-dispatch generic functions,
442,Safe object finalization,
441,Improving Python ZIP Application Support,
435,Adding an Enum type to the Python standard library,Final
440,Version Identification and Dependency Specification,
436,The Argument Clinic DSL,
427,The Wheel Binary Package Format 1.0,
420,Implicit Namespace Packages,Final
425,Compatibility Tags for Built Distributions,
421,Adding sys.implementation,
424,A method for exposing a length hint,Final
417,Including mock in the Standard Library,Final
415,Implement context suppression with exception attributes,
412,Key-Sharing Dictionary,Final
414,Explicit Unicode Literal for Python 3.3,Final
418,"Add monotonic time, performance counter, and process time functions",Final
409,Suppressing exception context,Final
397,Python launcher for Windows,Final
405,Python Virtual Environments,
393,Flexible String Representation,Final
391,Dictionary-Based Configuration For Logging,Final
384,Defining a Stable ABI,Final
389,argparse - New Command Line Parsing Module,Final
372,Adding an ordered dictionary to collections,Final
380,Syntax for Delegating to a Subgenerator,Final
383,Non-decodable Bytes in System Character Interfaces,Final
378,Format Specifier for Thousands Separator,Final
376,Database of Installed Python Distributions,Final
371,Addition of the multiprocessing package to the standard library,Final
366,Main module explicit relative imports,Final
370,Per user site-packages directory,Final
362,Function Signature Object,Final
358,The “bytes” Object,Final
353,Using ssize_t as the index type,Final
357,Allowing Any Object to be Used for Slicing,Final
352,Required Superclass for Exceptions,Final
342,Coroutines via Enhanced Generators,Final
341,Unifying try-except and try-finally,Final
338,Executing modules as scripts,Final
343,The “with” Statement,Final
328,Imports: Multi-Line and Absolute/Relative,Final
331,Locale-Independent Float/String Conversions,Final
324,subprocess - New process module,Final
322,Reverse Iteration,Final
327,Decimal Data Type,Final
318,Decorators for Functions and Methods,Final
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
308,Conditional Expressions,Final
309,Partial Function Application,Final
305,CSV File API,
301,Package Index and Metadata for Distutils,Final
302,New Import Hooks,Final
307,Extensions to the pickle protocol,Final
279,The enumerate() built-in function,Final
293,Codec Error Handling Callbacks,Final
285,Adding a bool type,Final
282,A Logging System,Final
289,Generator Expressions,Final
292,Simpler String Substitutions,Final
277,Unicode file name support for Windows NT,Final
264,Future statements in simulated shells,Final
278,Universal Newline Support,Final
273,Import Modules from Zip Archives,Final
274,Dict Comprehensions,Final
261,Support for “wide” Unicode characters,Final
263,Defining Python Source Code Encodings,Final
255,Simple Generators,Final
260,Simplify xrange(),Final
253,Subtyping Built-in Types,Final
250,Using site-packages on Windows,Final
238,Changing the Division Operator,Final
252,Making Types Look More Like Classes,Final
235,Import on Case-Insensitive Platforms,Final
237,Unifying Long Integers and Integers,Final
236,Back to the __future__,Final
234,Iterators,Final
232,Function Attributes,Final
230,Warning Framework,Final
227,Statically Nested Scopes,Final
229,Using Distutils to Build Python,Final
223,Change the Meaning of ,Final
221,Import As,Final
218,Adding a Built-In Set Object Type,Final
217,Display Hook for Interactive Use,Final
208,Reworking the Coercion Model,Final
205,Weak References,Final
207,Rich Comparisons,Final
214,Extended Print Statement,Final
203,Augmented Assignments,Final
713,Callable Modules,
712,Adding a “converter” parameter to dataclasses.field,
202,List Comprehensions,Final
100,Python Unicode Integration,Final
201,Lockstep Iteration,Final
711,PyBI: a standard format for distributing Python Binaries,
710,Recording the provenance of installed packages,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
702,Marking deprecations using the type system,
703,Making the Global Interpreter Lock Optional in CPython,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
694,Upload 2.0 API for Python Package Repositories,
696,Type defaults for TypeVarLikes,
667,Consistent views of namespaces,Draft
679,Allow parentheses in assert statements,
671,Syntax for late-bound function argument defaults,
653,Precise Semantics for Pattern Matching,Draft
659,Specializing Adaptive Interpreter,Draft
661,Sentinel Values,
639,Improving License Clarity with Better Package Metadata,
638,Syntactic Macros,
603,Adding a frozenmap type to collections,
588,GitHub Issues Migration Plan,
554,Multiple Interpreters in the Stdlib,
467,Minor API improvements for binary sequences,Draft
3121,Extension Module Initialization and Finalization,Accepted
709,Inlined comprehensions,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
701,Syntactic formalization of f-strings,
699,Remove private dict version field added in PEP 509,
692,Using TypedDict for more precise **kwargs typing,
698,Override Decorator for Static Typing,
700,Additional Fields for the Simple API for Package Indexes,
695,Type Parameter Syntax,
691,JSON-based Simple API for Python Package Indexes,
688,Making the buffer protocol accessible in Python,
687,Isolating modules in the standard library,
686,Make UTF-8 mode default,
685,Comparison of extra names for optional distribution dependencies,
684,A Per-Interpreter GIL,
683,"Immortal Objects, Using a Fixed Refcount",
681,Data Class Transforms,
680,tomllib: Support for Parsing TOML in the Standard Library,
678,Enriching Exceptions with Notes,
673,Self Type,
675,Arbitrary Literal String Type,
669,Low Impact Monitoring for CPython,
668,Marking Python base environments as “externally managed”,
658,Serve Distribution Metadata in the Simple Repository API,
655,Marking individual TypedDict items as required or potentially-missing,
654,Exception Groups and except*,Accepted
649,Deferred Evaluation Of Annotations Using Descriptors,
647,User-Defined Type Guards,
646,Variadic Generics,
634,Structural Pattern Matching: Specification,
632,Deprecate distutils module,
625,Filename of a Source Distribution,
617,New PEG parser for CPython,
615,Support for the IANA Time Zone Database in the Standard Library,
613,Explicit Type Aliases,
612,Parameter Specification Variables,
604,Allow writing union types as ,
593,Flexible function and variable annotations,
591,Adding a final qualifier to typing,
590,Vectorcall: a fast calling protocol for CPython,
586,Literal Types,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
578,Python Runtime Audit Hooks,
563,Postponed Evaluation of Annotations,
560,Core support for typing module and generic types,Accepted
544,Protocols: Structural subtyping (static duck typing),
635,Structural Pattern Matching: Motivation and Rationale,
630,Isolating Extension Modules,
619,Python 3.10 Release Schedule,Active
602,Annual Release Cycle for Python,
607,Reducing CPython’s Feature Delivery Latency,
596,Python 3.9 Release Schedule,
569,Python 3.8 Release Schedule,Active
537,Python 3.7 Release Schedule,Active
579,Refactoring C functions and methods,
483,The Theory of Type Hints,
514,Python registration in the Windows registry,
482,Literature Overview for Type Hints,
457,Notation For Positional-Only Parameters,
452,API for Cryptographic Hash Functions v2.0,Final
434,IDLE Enhancement Exception for All Branches,
430,Migrating to Python 3 as the default online documentation,
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
394,The “python” Command on Unix-Like Systems,Active
291,Backward Compatibility for the Python 2 Standard Library,Final
333,Python Web Server Gateway Interface v1.0,
290,Code Migration and Modernization,Active
287,reStructuredText Docstring Format,
272,API for Block Encryption Algorithms v1.0,Final
247,API for Cryptographic Hash Functions,Final
101,Doing Python Releases 101,Active
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
20,The Zen of Python,Active
676,PEP Infrastructure Process,
609,Python Packaging Authority (PyPA) Governance,
257,Docstring Conventions,
581,Using GitHub Issues for CPython,
387,Backwards Compatibility Policy,
13,Python Language Governance,Active
10,Voting Guidelines,Active
11,CPython platform support,Active
12,Sample reStructuredText PEP Template,Active
7,Style Guide for C Code,Active
6,Bug Fix Releases,Active
8,Style Guide for Python Code,Active
4,Deprecation of Standard Modules,Active
2,Procedure for Adding New Modules,Active
5,Guidelines for Language Evolution,Active
name,number,status
PEP Purpose and Guidelines,1,Active
2020 Term Steering Council election,8101,
Python Language Governance Proposal Overview,8000,Final
Reserved,801,Active
Python Web Server Gateway Interface v1.0.1,3333,
January 2019 Steering Council election,8100,Final
2021 Term Steering Council election,8102,
Open Source Governance Survey,8002,Final
Python 3.11 Release Schedule,664,Active
Structural Pattern Matching: Tutorial,636,
The Steering Council Model,8016,Accepted
Isolating Extension Modules,630,
Unicode-related Security Considerations for Python,672,Active
Python 3.10 Release Schedule,619,Active
Python 3.12 Release Schedule,693,Active
Structural Pattern Matching: Motivation and Rationale,635,
The Commons Governance Model,8014,Rejected
The Community Governance Model,8012,Rejected
Organization of the Python community,8015,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
The External Council Governance Model,8013,Rejected
Asynchronous IO support,3153,Superseded
The Technical Leader Governance Model,8010,Rejected
Cofunctions,3152,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
"str(container) should call str(item), not repr(item)",3140,
Cleaning out sys and the “interpreter” module,3139,Rejected
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Labeled break and continue,3136,Rejected
Introducing Roles,3133,Rejected
Access to Current Module/Class/Function,3130,Rejected
Remove Implicit String Concatenation,3126,Rejected
Remove Backslash Continuation,3125,Rejected
Delineation of the main module,3122,Rejected
A Switch/Case Statement,3103,Rejected
BList: A Faster List-like Type,3128,
Postfix type declarations,3117,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
IEEE 754 Floating Point Special Values,754,Rejected
A simplified signature for __exit__ and __aexit__,707,
Require virtual environments by default for package installers,704,
Lazy Imports,690,
Reject Foolish Indentation,666,Rejected
A file format to list Python dependencies for reproducibility of an application,665,
Callable Type Syntax,677,
"Standardizing Enum str(), repr(), and format() behaviors",663,
Editable installs via virtual wheels,662,
Specifying Installer Requirements for Python Projects,650,
Extensible customizations of the interpreter at startup,648,
Allow writing optional types as ,645,
Robust Stack Overflow Handling,651,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,
Unused variable syntax,640,Rejected
Explicit Pattern Syntax for Structural Pattern Matching,642,
Dependency specification in pyproject.toml using an exploded TOML table,633,
Dependency specification in pyproject.toml based on PEP 508,631,
Support for indexing with keyword arguments,637,
Hide implementation details from the C API,620,Withdrawn
Coordinated Python release,608,Rejected
The one million limit,611,Withdrawn
Structural Pattern Matching,622,
Python Compatibility Version,606,Rejected
A rolling feature release stream for CPython,605,
Forbid return/break/continue breaking out of finally,601,
The manylinux2014 Platform Tag,599,
Introducing incremental feature releases,598,
Improving bugs.python.org,595,
A Concurrency Memory Model for Python,583,Withdrawn
Python local packages directory,582,
The C call protocol,580,
Augmented Assignment Expressions,577,Withdrawn
Rationalize Built-in function classes,576,
The manylinux2010 Platform Tag,571,
Unifying function/method classes,575,Withdrawn
Built-in noop(),559,Rejected
Security transparency in the Python runtime,551,Withdrawn
Context-local variables (contextvars),555,Withdrawn
Execution Context,550,Withdrawn
Instance Descriptors,549,
More Flexible Loop Control,548,Rejected
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,
Dot Notation Assignment In Function Header,542,Rejected
A Unified TLS API for Python,543,Withdrawn
Existence checking operators,531,Withdrawn
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Allow BlockingIOError in security sensitive APIs,522,Rejected
A Platform Tag for Portable Linux Built Distributions,513,
Build system abstraction for pip/conda etc,516,
API for code transformers,511,Rejected
Specialize functions with guards,510,Rejected
Add a private version to dict,509,Superseded
Using the System RNG by default,504,Withdrawn
Migrate CPython to Git and GitLab,507,Rejected
String Interpolation - Extended Discussion,502,Rejected
A protocol for delegating datetime methods to their tzinfo implementations,500,
A standard mechanism for backward compatibility,497,
Environment Markers,496,
Chain exceptions at C level,490,Rejected
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Creating forge.python.org,474,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
Support for indexing with keyword arguments,472,
Core development workflow automation for CPython,462,Withdrawn
Migration of dict iteration code to Python 3,469,Withdrawn
Exception-catching expressions,463,Rejected
Add binary interpolation and formatting,460,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,
Adding a key-transforming dictionary to collections,455,
Inclusion of implicit pip bootstrap in Python installation,439,
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
Easier suppression of file descriptor inheritance,433,Superseded
Restructuring the CPython startup sequence,432,
Time zone support improvements,431,
Simpler customisation of class creation,422,Withdrawn
Add a frozendict builtin type,416,Rejected
Metadata for Python Software Packages 2.0,426,
Faster evolution of the Python Standard Library,413,Withdrawn
Provisional packages in the Python standard library,411,Superseded
Use decimal.Decimal type for timestamps,410,Rejected
Standard library __preview__ package,408,Rejected
Improved Encapsulation of Import State,406,Withdrawn
Simplified Package Layout and Partitioning,402,Rejected
BDFL Retirement,401,April Fool!
